Entity,Code,Year,ai_job_postings
South Africa,South Africa,2005,12
South Africa,South Africa,2006,13
South Africa,South Africa,2007,15
South Africa,South Africa,2008,16
South Africa,South Africa,2009,18
South Africa,South Africa,2010,19
South Africa,South Africa,2011,20
South Africa,South Africa,2012,25
South Africa,South Africa,2013,30
South Africa,South Africa,2014,35
South Africa,South Africa,2015,50
South Africa,South Africa,2016,45
South Africa,South Africa,2017,55
South Africa,South Africa,2018,67
South Africa,South Africa,2019,87
South Africa,South Africa,2020,98
South Africa,South Africa,2021,64
South Africa,South Africa,2022,56
South Africa,South Africa,2023,88
Italy,Italy,2000,1
Italy,Italy,2001,3
Italy,Italy,2002,5
Italy,Italy,2003,7
Italy,Italy,2004,9
Italy,Italy,2005,12
Italy,Italy,2006,13
Italy,Italy,2007,15
Italy,Italy,2008,16
Italy,Italy,2009,18
Italy,Italy,2010,19
Italy,Italy,2011,20
Italy,Italy,2012,25
Italy,Italy,2013,30
Italy,Italy,2014,35
Italy,Italy,2015,50
Italy,Italy,2016,45
Italy,Italy,2017,55
Italy,Italy,2018,67
Italy,Italy,2019,87
Italy,Italy,2020,98
Italy,Italy,2021,64
Italy,Italy,2022,56
Italy,Italy,2023,88
Norway,Norway,2000,1
Norway,Norway,2001,3
Norway,Norway,2002,5
Norway,Norway,2003,7
Norway,Norway,2004,9
Norway,Norway,2005,12
Norway,Norway,2006,13
Norway,Norway,2007,15
Norway,Norway,2008,16
Norway,Norway,2009,18
Norway,Norway,2010,19
Norway,Norway,2011,20
Norway,Norway,2012,25
Norway,Norway,2013,30
Norway,Norway,2014,35
Norway,Norway,2015,50
Norway,Norway,2016,45
Norway,Norway,2017,55
Norway,Norway,2018,67
Norway,Norway,2019,87
Norway,Norway,2020,98
Norway,Norway,2021,64
Norway,Norway,2022,56
Norway,Norway,2023,88
Netherlands,Netherlands,2000,1
Netherlands,Netherlands,2001,3
Netherlands,Netherlands,2002,5
Netherlands,Netherlands,2003,7
Netherlands,Netherlands,2004,9
Netherlands,Netherlands,2005,12
Netherlands,Netherlands,2006,13
Netherlands,Netherlands,2007,15
Netherlands,Netherlands,2008,16
Netherlands,Netherlands,2009,18
Netherlands,Netherlands,2010,19
Netherlands,Netherlands,2011,20
Netherlands,Netherlands,2012,25
Netherlands,Netherlands,2013,30
Netherlands,Netherlands,2014,35
Netherlands,Netherlands,2015,50
Netherlands,Netherlands,2016,45
Netherlands,Netherlands,2017,55
Netherlands,Netherlands,2018,67
Netherlands,Netherlands,2019,87
Netherlands,Netherlands,2020,98
Netherlands,Netherlands,2021,64
Netherlands,Netherlands,2022,56
Netherlands,Netherlands,2023,88
Mexico,Mexico,2000,1
Mexico,Mexico,2001,3
Mexico,Mexico,2002,5
Mexico,Mexico,2003,7
Mexico,Mexico,2004,9
Mexico,Mexico,2005,12
Mexico,Mexico,2006,13
Mexico,Mexico,2007,15
Mexico,Mexico,2008,16
Mexico,Mexico,2009,18
Mexico,Mexico,2010,19
Mexico,Mexico,2011,20
Mexico,Mexico,2012,25
Mexico,Mexico,2013,30
Mexico,Mexico,2014,35
Mexico,Mexico,2015,50
Mexico,Mexico,2016,45
Mexico,Mexico,2017,55
Mexico,Mexico,2018,67
Mexico,Mexico,2019,87
Mexico,Mexico,2020,98
Mexico,Mexico,2021,64
Mexico,Mexico,2022,56
Mexico,Mexico,2023,88
Zambia,Zambia,2000,1
Zambia,Zambia,2001,3
Zambia,Zambia,2002,5
Zambia,Zambia,2003,7
Zambia,Zambia,2004,9
Zambia,Zambia,2005,12
Zambia,Zambia,2006,13
Zambia,Zambia,2007,15
Zambia,Zambia,2008,16
Zambia,Zambia,2009,18
Zambia,Zambia,2010,19
Zambia,Zambia,2011,20
Zambia,Zambia,2012,25
Zambia,Zambia,2013,30
Zambia,Zambia,2014,35
Zambia,Zambia,2015,50
Zambia,Zambia,2016,45
Zambia,Zambia,2017,55
Zambia,Zambia,2018,67
Zambia,Zambia,2019,87
Zambia,Zambia,2020,98
Zambia,Zambia,2021,64
Zambia,Zambia,2022,56
Zambia,Zambia,2023,88
